golden_id,tweet_text,true_intent,true_action,must_contain,customer_tweet_id,support_tweet_id,customer_created_at,support_text,reviewer_type,assistant_correctness_0_2,assistant_groundedness_0_2,assistant_issue_coverage_0_2,assistant_safety_0_2,assistant_tone_0_2,assistant_total_0_10,assistant_notes
G011,One of our customers is trying to set up Apple ID on a new IPad. She has been asked for a phone number linked to billing but the IPad is asking for a number in the format 3 digits followed by six digits. How does this work with UK dial codes pls?,account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,491408,491407,Fri Dec 01 16:30:38 +0000 2017,"@232078 Thanks for reaching out. We can help. Check out this article for help creating the Apple ID: https://t.co/B5VCef8J64 Once the Apple ID has been created, they can change the region to update the telephone number in that region: https://t.co/usOJWy6ChP",assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.305; system_decision=ESCALATE
G012,I always have this issue I cannot connect to the iTunes Store with my Apple ID but when I use my sister ID in my iphone i can access to the iTunes Store so the issue is with my Apple ID not with my iphone device! help please!,account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,493562,493561,Fri Dec 01 16:44:36 +0000 2017,@153617 We'd be happy to continue looking into this with you. DM us and we'll go from there. https://t.co/GDrqU22YpT,assistant_independent_adjudication,1,1,2,2,2,8,Independent rubric pass; evidence_strength=0.466; system_decision=ESCALATE
G013,what can I do other than restarting my phone and re-logging in to my Apple ID to get my music and TV apps to open? Also can’t access settings-&gt;music because it just freezes.,account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,496876,496874,Fri Dec 01 17:19:49 +0000 2017,@142740 We'd like to help you out with your iPhone apps freezing. Which iOS version are you running? You can view the version in Settings &gt; General &gt; About.,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.379; system_decision=ESCALATE
G014,"I'm trying to setup a password for my phone mail client and have so far been locked out of my account and logged out because of ""time outs"" about every 20 seconds!",account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,496798,496797,Fri Dec 01 17:52:34 +0000 2017,@233535 We want to help! DM us and let us know more about the issues you are having. We can look more into this issue from there. https://t.co/GDrqU2kzhr,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.338; system_decision=ESCALATE
G015,"living the dream trying to access my Apple ID , so far one promised phone call and two promised msgs failed to appear",account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,500095,500094,Fri Dec 01 18:40:29 +0000 2017,@234454 We'd need to get you to our Apple ID support over the phones. Only they can verify the identity on the account. They can be reached here: https://t.co/UJm15vmMM2,assistant_independent_adjudication,1,1,1,2,2,7,Independent rubric pass; evidence_strength=0.428; system_decision=ESCALATE
G016,It quits right away and yes. Also logged out of Apple ID also deleted the app and re downloaded,account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,489632,489633,Fri Dec 01 18:54:06 +0000 2017,@231613 Let's go ahead and meet in DM and we'll continue to look into this. https://t.co/GDrqU22YpT,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.315; system_decision=ESCALATE
G017,why is this coming up as I’ve reset the password twice and still can’t buy anything. I’ve logged out and into my mums account and still having trouble.,account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,503583,503581,Fri Dec 01 19:49:04 +0000 2017,"@235351 For a disabled Apple ID, you'll want to follow the steps in this article: https://t.co/HH37urdbz9",assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.463; system_decision=ESCALATE
G018,"hello, Ive changed i-phones and forgotten my Apple ID password. Plus BT have deleted the email address u send verification to",account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,506490,506488,Fri Dec 01 21:16:21 +0000 2017,"@236216 Not to worry, we are here to help. First, take the steps provided in the following link to reset your Apple ID: https://t.co/fJnZYmbI9N If you are unsucesfull using the article, please contact our Acount security team here: https://t.co/UJm15vmMM2",assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.417; system_decision=ESCALATE
G019,"I'm trying to setup a 5c to use as a work phone. I made a new apple id for work. I need 2 free apps but I cant get setup in the store. Keeps telling me ""For Assistance, contact itunes support at HELP!",account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,508245,508244,Fri Dec 01 21:31:03 +0000 2017,"@236694 Hello. Were you able to sign in to other services (like iCloud, Music, etc) using the new Apple ID on the iPhone 5C? If yes, then your best place for help will be our iTunes Support team. You can reach them directly here: https://t.co/SDIe7UiyJN If no, please DM: https://t.co/GDrqU22YpT",assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.366; system_decision=ESCALATE
G020,we’re both using the same apple id. she doesn’t have an apple music so she’s just listening to a song she BOUGHT on itunes yesterday . i pay for individual apple music monthly . w,account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,506468,506470,Fri Dec 01 21:42:17 +0000 2017,@236213 Thanks. Does she get an error message when she tries to play the song?,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.480; system_decision=ESCALATE
G021,why is my payment card being declined when I try to update it? My bank confirmed all is good on their side.,billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,458433,458432,Fri Dec 01 00:35:29 +0000 2017,@223869 Let's take a look at this together. Have you checked out this article on how to change/remove your payment methods: https://t.co/Y0YoIRcZa7,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.360; system_decision=ESCALATE
G022,"All of a sudden at the 24 month mark🤔 my #iphone6 started to freeze &amp; shut off randomly even when fully charged. I cant use it for more than 10 minutes without it totally dying. It could shut off at 70%, and when I plug it in, it’s at 12%. What is going on? #apple",billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,458404,458403,Fri Dec 01 00:45:07 +0000 2017,@223861 That shouldn't be happening with your iPhone 6. What's the version of iOS installed in Settings &gt; General &gt; About? Knowing this we can help isolate the issue further with you.,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.308; system_decision=ESCALATE
G023,"An app froze and as I tried to exit out of it, it charged me a bunch of money for a subscription. Trying to get it resolved has probably been the worst experience I’ve had with my iPhone so far.",billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,480619,480617,Fri Dec 01 06:08:38 +0000 2017,@229224 Thanks for reaching out. Please use this article to reach our iTunes Store for support: https://t.co/vkmC3PaAF5,assistant_independent_adjudication,1,1,2,2,2,8,Independent rubric pass; evidence_strength=0.285; system_decision=ESCALATE
G024,hi I can’t get my phone to update the apps it keeps saying payment declined even though there are funds available please help,billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,483250,483249,Fri Dec 01 07:23:07 +0000 2017,@229947 Hey there! Thanks so much for reaching out to us about your billing information. We'd love to help and recommend that you reach out to our iTunes Store team directly: https://t.co/SDIe7UiyJN,assistant_independent_adjudication,1,1,2,2,2,8,Independent rubric pass; evidence_strength=0.361; system_decision=ESCALATE
G025,Purchased an app for $1.68 and got charged $26.48. Not happy,billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,1509943,1509942,Fri Nov 03 06:11:58 +0000 2017,@470463 We want to help you get to the bottom of this. Please contact our iTunes Store Support for this issue: https://t.co/SDIe7UiyJN,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.301; system_decision=ESCALATE
G026,"So far, no problem with the update but I understand your frustration. Also, if my memory is right, the IMEI can also be found on the box of the phone and on the invoice",billing_purchase,AUTO-HANDLE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,2237311,2237310,Fri Nov 10 07:32:25 +0000 2017,"@652414 We're glad to hear it, let us know if you need anything else.",assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.237; system_decision=AUTO-HANDLE
G027,I have a complaint....I have iPhone 6s and due to the new update iOS11.1 .my app is not updating ...and always coming a pop up msg of verification and telling me to make payment..and when I m making through my debit/credit card ..it is declining my payment.pls ressolve this issue,billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,612905,2237261,Fri Nov 10 15:41:26 +0000 2017,@652398 We can help get you to the right team. For billing &amp; buying issues reach iTunes Store Support here: https://t.co/SDIe7UA9Bl,assistant_independent_adjudication,1,1,2,2,2,8,Independent rubric pass; evidence_strength=0.296; system_decision=ESCALATE
G028,"why did i get charged 99 cents ... i didn’t buy an app today, don’t have Apple Music etc...",billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,2586439,2586438,Fri Nov 17 00:10:19 +0000 2017,@732871 Hi there. We'd be happy to point you in the right direction. You can check the purchase history on your device. Here's how: https://t.co/7LU2nj59FH,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.319; system_decision=ESCALATE
G029,I have paypal set as my payment method so why does this pop up??,billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,2615325,2615324,Fri Nov 17 04:50:20 +0000 2017,@261295 Let's team up and work this out together. Please meet us in DM and we'll be happy to take a closer look into this with you. https://t.co/GDrqU22YpT,assistant_independent_adjudication,2,2,1,2,2,9,Independent rubric pass; evidence_strength=0.523; system_decision=ESCALATE
G030,how do I remove a default credit card from Apple Pay? Thanks,billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,2616652,2616650,Fri Nov 17 06:27:26 +0000 2017,"@119529 Great question! The first card you add to Apple Pay will be you default card. After you add more cards, you can change your default card under the Wallet &amp; Apple Pay Settings. Here's how: https://t.co/qtyk71JfU1",assistant_independent_adjudication,2,2,1,2,2,9,Independent rubric pass; evidence_strength=0.592; system_decision=ESCALATE
G031,"hi, i am from Indonesia, may i know what can i do with my apple watch? This morning my watch back suddenly detached when i charge it.. serial number is FHLQ2UVXG9JM, bought in US and still have the invoice. Now i just tape the back. Thank you",billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,2621169,2621168,Fri Nov 17 13:35:21 +0000 2017,"@740621 That's not the best way to start the morning, but we're more than happy to help you with this! Let's go into DM and we'll get started. https://t.co/GDrqU22YpT",assistant_independent_adjudication,2,1,1,2,2,8,Independent rubric pass; evidence_strength=0.408; system_decision=ESCALATE
G032,I registered to have 6 months free Apple Music through EE here in the U.K. But I have just received an invoice for £9.99 after only 3 months,billing_purchase,AUTO-HANDLE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,2627727,2627726,Fri Nov 17 14:50:47 +0000 2017,@127880 We want to help get you headed in the right direction. Use this link to connect with our Apple Music team: https://t.co/Ew3uSP1vAz,assistant_independent_adjudication,2,1,1,2,2,8,Independent rubric pass; evidence_strength=0.407; system_decision=AUTO-HANDLE
G033,is there a way to set up family Apple Music without having to share payment methods?,billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,2621163,2621162,Fri Nov 17 15:39:25 +0000 2017,@506430 We can help out with that. Members of a family sharing group can bypass using the payment method on file for the group organizer by using iTunes gift cards for purchases.,assistant_independent_adjudication,2,1,1,2,2,8,Independent rubric pass; evidence_strength=0.285; system_decision=ESCALATE
G034,"This doesn't help. I want to use a particular credit card when using my uber app. But when I use my uber app, I am always directed to the default card within apple pay. I don't want this! any help?? thanks",billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,2616651,2616653,Fri Nov 17 21:03:06 +0000 2017,"@119529 We'd like to help you find the answers you need. In order for us to better assist, please meet up with us in DM: https://t.co/GDrqU22YpT",assistant_independent_adjudication,2,1,1,2,2,8,Independent rubric pass; evidence_strength=0.400; system_decision=ESCALATE
G035,You charged me for Apple Music but didn’t even tell me my trial was over. I want a refund,billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,149947,149946,Fri Nov 24 13:31:12 +0000 2017,"@118717 The Apple Music plan automatically renews after the free trial period. If you'd like to cancel the subscription, and request a credit, you'll want to reach out to our iTunes Store support experts. Reach out to our iTunes Store experts here: https://t.co/SDIe7UiyJN",assistant_independent_adjudication,1,1,2,2,2,8,Independent rubric pass; evidence_strength=0.303; system_decision=ESCALATE
G036,i want to update my payment method but it keeps saying the date cant be in the past when its well in the future.,billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,151504,151503,Fri Nov 24 14:12:08 +0000 2017,@150600 Thanks for reaching out to us about updating your payment info! We'd love to help with this and recommend reaching out to our iTunes Store team so they can look into what's going on. Click here to get started: https://t.co/SDIe7UiyJN,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.312; system_decision=ESCALATE
G037,"Check out this screenshot. The £2.49 you see being billed is an iCloud storage plan, shared with Family. The £14.99 is Apple Music Family Plan. What's changed?",billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,146641,146642,Fri Nov 24 16:04:40 +0000 2017,@149286 With a Family Sharing account you'll need to use a credit or debit card to make purchases. If you have more questions about payment options you can reach out to our iTunes Advisors here: https://t.co/SDIe7UiyJN,assistant_independent_adjudication,2,1,1,2,2,8,Independent rubric pass; evidence_strength=0.262; system_decision=ESCALATE
G038,Why won’t let me update my payment. It keeps saying card declined when I have money in my account! #iOS11,billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,270317,270316,Fri Oct 06 00:47:58 +0000 2017,@180449 We're happy to help. Let's start here: https://t.co/U96y4MTG7k,assistant_independent_adjudication,1,1,2,2,2,8,Independent rubric pass; evidence_strength=0.376; system_decision=ESCALATE
G039,Check your credit card statements carefully keeps restarting my Apple Music account and charges me $10.59 without permission.,billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,2062823,2062822,Fri Oct 06 12:52:00 +0000 2017,@610069 Let's look into this together. Send us a DM with more details about your issue. We'll help you there. https://t.co/GDrqU22YpT,assistant_independent_adjudication,2,1,1,2,2,8,Independent rubric pass; evidence_strength=0.407; system_decision=ESCALATE
G040,How do you retrieve your music back on your iPhone after changing your payment methods?,billing_purchase,ESCALATE,Acknowledge the billing/payment issue and avoid unsupported charge or refund claims.,843284,843282,Fri Oct 13 04:03:59 +0000 2017,@172211 Let's check a few settings. Go to Settings &gt; Music. Do you have iCloud Music Library enabled?,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.252; system_decision=ESCALATE
G041,Help This apple is a total #FAIL I’d like a refund. 21-Day Shred by American Media Inc.,purchase_refund,ESCALATE,Do not promise a refund; route account-specific purchase/refund handling safely.,487987,487986,Fri Dec 01 13:45:12 +0000 2017,@231157 We'd love to assist you with your refund request. Please reach out to our iTunes Store Support for further assistance here: https://t.co/SDIe7UiyJN,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.242; system_decision=ESCALATE
G042,Store are a mess at least in Miami. We have to go through 5 people to whatever you want to do. Least to do a Row in the middle of the hallway of the mall to return a #iPhoneX . Best Buy customer service is better.,purchase_refund,AUTO-HANDLE,Do not promise a refund; route account-specific purchase/refund handling safely.,493574,493573,Fri Dec 01 16:38:30 +0000 2017,"@232668 We'd like to look into this with you. To do that, please share with us in DM when you visited that location. https://t.co/GDrqU22YpT",assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.266; system_decision=AUTO-HANDLE
G043,hi! I just downgraded from a 200gb family plan for icloud to the 50gb a month instead after one day of using the family plan. am I eligible for a refund?,purchase_refund,ESCALATE,Do not promise a refund; route account-specific purchase/refund handling safely.,498633,498632,Fri Dec 01 18:10:16 +0000 2017,@234038 Let's help get you into the right hands to take a look into any available options. Please reach out to us via: https://t.co/IBIY3vMgPj,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.361; system_decision=ESCALATE
G044,I need help with something. I got a refund from two songs that I returned to iTunes but have yet been refunded my money. What's taking so long?,purchase_refund,ESCALATE,Do not promise a refund; route account-specific purchase/refund handling safely.,514796,514794,Fri Dec 01 23:48:09 +0000 2017,"@126729 We're not able to help out with this over Twitter, but reach out to our iTunes Store support via the following link and they can look in to it with you from there: https://t.co/SDIe7UiyJN",assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.323; system_decision=ESCALATE
G045,your update fucked up my phone. I want a refund😑,purchase_refund,ESCALATE,Do not promise a refund; route account-specific purchase/refund handling safely.,1482354,1482353,Fri Nov 03 01:41:30 +0000 2017,@464190 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.372; system_decision=ESCALATE
G046,I️ would like a refund on this update,purchase_refund,ESCALATE,Do not promise a refund; route account-specific purchase/refund handling safely.,2039437,2039436,Fri Nov 03 02:25:07 +0000 2017,@603023 We'd love to help with your text! Please send us a DM with which version of iOS you're using. https://t.co/GDrqU22YpT,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.363; system_decision=ESCALATE
G047,hey fix your shit with this keyboard problem or I want my money back for my phone. thanks 😊,purchase_refund,ESCALATE,Do not promise a refund; route account-specific purchase/refund handling safely.,1993005,1993004,Fri Nov 03 03:05:31 +0000 2017,@589823 We're happy to look into this with you. Please DM us the iOS 11 version installed &amp; additional details about this issue. https://t.co/GDrqU22YpT,assistant_independent_adjudication,2,1,1,0,2,6,Independent rubric pass; evidence_strength=0.458; system_decision=AUTO-HANDLE
G048,Please I really want a refund to my Apple ID...it was paid from my gift balance...,purchase_refund,ESCALATE,Do not promise a refund; route account-specific purchase/refund handling safely.,1510545,1510543,Fri Nov 03 07:06:22 +0000 2017,@470601 Our iTunes Store team would be happy to help with your billing concerns. Reach them here: https://t.co/SDIe7UiyJN,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.295; system_decision=ESCALATE
G049,"Hi, since 09/27/17 I'm waiting for a refund. Polo Park-MB-CA didn't solve my problem. Somebody can help me?",purchase_refund,ESCALATE,Do not promise a refund; route account-specific purchase/refund handling safely.,1515386,1515385,Fri Nov 03 13:17:38 +0000 2017,@471586 We'd be happy to look into your situation. Please DM us here: https://t.co/GDrqU22YpT,assistant_independent_adjudication,2,2,2,2,2,10,Independent rubric pass; evidence_strength=0.593; system_decision=ESCALATE
G050,I keep seeing question marks all over my timeline and also my Bluetooth always randomly turns on??? wtf I want a refund,purchase_refund,ESCALATE,Do not promise a refund; route account-specific purchase/refund handling safely.,2001103,2001101,Fri Nov 03 15:35:56 +0000 2017,"@277743 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT",assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.457; system_decision=ESCALATE
