golden_id,tweet_text,true_intent,true_action,human_correctness_0_2,human_groundedness_0_2,human_issue_coverage_0_2,human_safety_0_2,human_tone_0_2,human_total_0_10,human_notes
G011,One of our customers is trying to set up Apple ID on a new IPad. She has been asked for a phone number linked to billing but the IPad is asking for a number in the format 3 digits followed by six digits. How does this work with UK dial codes pls?,account_access,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G012,I always have this issue I cannot connect to the iTunes Store with my Apple ID but when I use my sister ID in my iphone i can access to the iTunes Store so the issue is with my Apple ID not with my iphone device! help please!,account_access,ESCALATE,1,1,2,2,2,8,"Candidate-reviewed row. Predicted intent was apps_appstore while the reviewed label is account_access. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G013,what can I do other than restarting my phone and re-logging in to my Apple ID to get my music and TV apps to open? Also can’t access settings-&gt;music because it just freezes.,account_access,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G014,"I'm trying to setup a password for my phone mail client and have so far been locked out of my account and logged out because of ""time outs"" about every 20 seconds!",account_access,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G015,"living the dream trying to access my Apple ID , so far one promised phone call and two promised msgs failed to appear",account_access,ESCALATE,1,1,1,2,2,7,"Candidate-reviewed row. Predicted intent was messages_calls while the reviewed label is account_access. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial. The reply addresses only part of the customer's stated problem or stays too generic."
G016,It quits right away and yes. Also logged out of Apple ID also deleted the app and re downloaded,account_access,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G017,why is this coming up as I’ve reset the password twice and still can’t buy anything. I’ve logged out and into my mums account and still having trouble.,account_access,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G018,"hello, Ive changed i-phones and forgotten my Apple ID password. Plus BT have deleted the email address u send verification to",account_access,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G019,"I'm trying to setup a 5c to use as a work phone. I made a new apple id for work. I need 2 free apps but I cant get setup in the store. Keeps telling me ""For Assistance, contact itunes support at HELP!",account_access,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G020,we’re both using the same apple id. she doesn’t have an apple music so she’s just listening to a song she BOUGHT on itunes yesterday . i pay for individual apple music monthly . w,account_access,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G021,why is my payment card being declined when I try to update it? My bank confirmed all is good on their side.,billing_purchase,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G022,"All of a sudden at the 24 month mark🤔 my #iphone6 started to freeze &amp; shut off randomly even when fully charged. I cant use it for more than 10 minutes without it totally dying. It could shut off at 70%, and when I plug it in, it’s at 12%. What is going on? #apple",billing_purchase,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G023,"An app froze and as I tried to exit out of it, it charged me a bunch of money for a subscription. Trying to get it resolved has probably been the worst experience I’ve had with my iPhone so far.",billing_purchase,ESCALATE,1,1,2,2,2,8,"Candidate-reviewed row. Predicted intent was subscription while the reviewed label is billing_purchase. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G024,hi I can’t get my phone to update the apps it keeps saying payment declined even though there are funds available please help,billing_purchase,ESCALATE,1,1,2,2,2,8,"Candidate-reviewed row. Predicted intent was software_update while the reviewed label is billing_purchase. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G025,Purchased an app for $1.68 and got charged $26.48. Not happy,billing_purchase,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G026,"So far, no problem with the update but I understand your frustration. Also, if my memory is right, the IMEI can also be found on the box of the phone and on the invoice",billing_purchase,AUTO-HANDLE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G027,I have a complaint....I have iPhone 6s and due to the new update iOS11.1 .my app is not updating ...and always coming a pop up msg of verification and telling me to make payment..and when I m making through my debit/credit card ..it is declining my payment.pls ressolve this issue,billing_purchase,ESCALATE,1,1,2,2,2,8,"Candidate-reviewed row. Predicted intent was software_update while the reviewed label is billing_purchase. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G028,"why did i get charged 99 cents ... i didn’t buy an app today, don’t have Apple Music etc...",billing_purchase,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G029,I have paypal set as my payment method so why does this pop up??,billing_purchase,ESCALATE,2,2,1,2,2,9,Candidate-reviewed row. The reply addresses only part of the customer's stated problem or stays too generic.
G030,how do I remove a default credit card from Apple Pay? Thanks,billing_purchase,ESCALATE,2,2,1,2,2,9,Candidate-reviewed row. The reply addresses only part of the customer's stated problem or stays too generic.
G031,"hi, i am from Indonesia, may i know what can i do with my apple watch? This morning my watch back suddenly detached when i charge it.. serial number is FHLQ2UVXG9JM, bought in US and still have the invoice. Now i just tape the back. Thank you",billing_purchase,ESCALATE,2,1,1,2,2,8,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial. The reply addresses only part of the customer's stated problem or stays too generic."
G032,I registered to have 6 months free Apple Music through EE here in the U.K. But I have just received an invoice for £9.99 after only 3 months,billing_purchase,AUTO-HANDLE,2,1,1,2,2,8,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial. The reply addresses only part of the customer's stated problem or stays too generic."
G033,is there a way to set up family Apple Music without having to share payment methods?,billing_purchase,ESCALATE,2,1,1,2,2,8,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial. The reply addresses only part of the customer's stated problem or stays too generic."
G034,"This doesn't help. I want to use a particular credit card when using my uber app. But when I use my uber app, I am always directed to the default card within apple pay. I don't want this! any help?? thanks",billing_purchase,ESCALATE,2,1,1,2,2,8,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial. The reply addresses only part of the customer's stated problem or stays too generic."
G035,You charged me for Apple Music but didn’t even tell me my trial was over. I want a refund,billing_purchase,ESCALATE,1,1,2,2,2,8,"Candidate-reviewed row. Predicted intent was purchase_refund while the reviewed label is billing_purchase. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G036,i want to update my payment method but it keeps saying the date cant be in the past when its well in the future.,billing_purchase,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G037,"Check out this screenshot. The £2.49 you see being billed is an iCloud storage plan, shared with Family. The £14.99 is Apple Music Family Plan. What's changed?",billing_purchase,ESCALATE,2,1,1,2,2,8,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial. The reply addresses only part of the customer's stated problem or stays too generic."
G038,Why won’t let me update my payment. It keeps saying card declined when I have money in my account! #iOS11,billing_purchase,ESCALATE,1,1,2,2,2,8,"Candidate-reviewed row. Predicted intent was software_update while the reviewed label is billing_purchase. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G039,Check your credit card statements carefully keeps restarting my Apple Music account and charges me $10.59 without permission.,billing_purchase,ESCALATE,2,1,1,2,2,8,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial. The reply addresses only part of the customer's stated problem or stays too generic."
G040,How do you retrieve your music back on your iPhone after changing your payment methods?,billing_purchase,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G041,Help This apple is a total #FAIL I’d like a refund. 21-Day Shred by American Media Inc.,purchase_refund,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G042,Store are a mess at least in Miami. We have to go through 5 people to whatever you want to do. Least to do a Row in the middle of the hallway of the mall to return a #iPhoneX . Best Buy customer service is better.,purchase_refund,AUTO-HANDLE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G043,hi! I just downgraded from a 200gb family plan for icloud to the 50gb a month instead after one day of using the family plan. am I eligible for a refund?,purchase_refund,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G044,I need help with something. I got a refund from two songs that I returned to iTunes but have yet been refunded my money. What's taking so long?,purchase_refund,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G045,your update fucked up my phone. I want a refund😑,purchase_refund,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G046,I️ would like a refund on this update,purchase_refund,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G047,hey fix your shit with this keyboard problem or I want my money back for my phone. thanks 😊,purchase_refund,ESCALATE,2,1,1,0,2,6,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial. The reply addresses only part of the customer's stated problem or stays too generic. Safety deduction: the system chose ESCALATE while the reviewed action is ESCALATE."
G048,Please I really want a refund to my Apple ID...it was paid from my gift balance...,purchase_refund,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G049,"Hi, since 09/27/17 I'm waiting for a refund. Polo Park-MB-CA didn't solve my problem. Somebody can help me?",purchase_refund,ESCALATE,2,2,2,2,2,10,Candidate-reviewed row. Reply matches the reviewed intent/action expectation and avoids unsupported claims or sensitive-data requests.
G050,I keep seeing question marks all over my timeline and also my Bluetooth always randomly turns on??? wtf I want a refund,purchase_refund,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
